layer,token_pos,token_offset,feature_dim,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_auroc,std_test_auroc
6,7,-1,896,0.6529990479212948,0.04813199134774888,0.7311382506834212,0.035712799645110864,0.6879347917190513,0.04863790868367112
14,4,-4,896,0.6647307732994816,0.020174591001305264,0.7505476847607727,0.01734426964094546,0.6856553281567426,0.053871272769432516
12,6,-2,896,0.6676187453718396,0.019367631647728662,0.7496909582984322,0.014257846043386703,0.6848215782415555,0.0279067621606148
23,7,-1,896,0.6516344017772135,0.03866394514634421,0.7202052744355729,0.031426016332519846,0.6828153749136903,0.036328362414143
13,6,-2,896,0.6443457103565006,0.03764581037863441,0.7297606599280035,0.032839547362191704,0.6767000406104944,0.0495338322949001
22,7,-1,896,0.6370781762403469,0.04914339758752324,0.7117241365301262,0.04020012949907353,0.6764258698827783,0.048823060173287657
14,6,-2,896,0.6385168729503861,0.0391420341185704,0.7267565146977398,0.02725347391097201,0.673658606431425,0.055947216100512225
8,7,-1,896,0.6587961493705703,0.05873447801041712,0.7400131561597703,0.048649171926132107,0.6721313974001302,0.07268203060295242
12,5,-3,896,0.64295990690786,0.012449972677807335,0.7319439013941503,0.0188345367268862,0.6693230245538833,0.024559665491046302
10,6,-2,896,0.6676187453718396,0.017666159270406448,0.7528406289209452,0.014436291008705273,0.6683477740060905,0.02622770966794261
21,7,-1,896,0.6371628054585846,0.0329510228443755,0.716486777800694,0.0264347974489486,0.6679893265243403,0.02424018039084546
15,5,-3,896,0.64295990690786,0.041343646861255585,0.7296197046627042,0.043239425118091195,0.6649382760396086,0.041227074318348385
15,6,-2,896,0.6516872950386121,0.02017231106713496,0.7398419124734914,0.02025021249755255,0.6630595916599814,0.025025442117502187
14,7,-1,896,0.6502062837194542,0.04341476060179025,0.7340942811984924,0.03397289781895224,0.6628659559331233,0.03351149174230935
7,7,-1,896,0.6457949857188193,0.04892319145414912,0.728098633448008,0.04159075696063748,0.6609819832090074,0.031445378000432546
14,0,-8,896,0.6574526605310484,0.031115562360410926,0.745879919371772,0.020140059393095128,0.6598836165092138,0.04217275440917295
20,7,-1,896,0.651655559081773,0.0454640323099808,0.730696303917189,0.04045129317317452,0.6584130077309609,0.036699325369177825
21,6,-2,896,0.6501639691103354,0.025647178330012503,0.7346301348936604,0.019932803149377693,0.6562764417224438,0.06193646679690127
